Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,10u,
"C4, C7",CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder,2,22u,
"C5, C6",0805,2,100n,
"D1, D2",D_MiniMELF,2,1N4148,
J1,DSUB-9_Female_EdgeMount_P2.77mm,1,DE9_Receptacle,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,~{CTS},
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,~{RTS},
R1,0805,1,2K2,
R2,0805,1,3K3,
SW1,SW_SPST_PTS645,1,BOOT,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U2,SOP-16_4.4x10.4mm_P1.27mm,1,MAX3232,
U3,SOT-223-3_TabPin2,1,AMS1117,
