Designator,Mid X,Mid Y,Rotation,Layer
C1,127.762,-92.71,270.0,bottom
C2,125.476,-92.71,270.0,bottom
C3,125.476,-88.8785,90.0,bottom
C4,118.009,-85.598,180.0,bottom
C5,116.8185,-100.33,0.0,bottom
C6,127.762,-88.9215,270.0,bottom
C7,131.572,-92.71,0.0,bottom
D1,127.508,-96.774,0.0,bottom
D2,131.572,-98.552,270.0,bottom
J1,124.46,-100.3795,0.0,top
R1,131.826,-87.63,180.0,bottom
R2,131.826,-89.662,0.0,bottom
SW1,119.888,-80.264,0.0,bottom
U1,124.46,-86.106,0.0,top
U2,119.38,-92.964,270.0,bottom
U3,129.54,-81.788,270.0,bottom
