Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,4u7,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C32, C35, C36, C37, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C5, C52, C53, C56, C57, C6, C7, C70, C71, C72, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,43,100n,
"C2, C3, C38, C39",C_Disc_D4.3mm_W1.9mm_P5.00mm,4,22p,
C27,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,47n,
C28,CP_Radial_D10.0mm_P5.00mm,1,150u,
C29,CP_Radial_D10.0mm_P5.00mm,1,22u,
C33,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10n,
C34,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,1u,
"C49, C50, C51",CP_Radial_D5.0mm_P2.50mm,3,10u,
"C54, C55",CP_Radial_D10.0mm_P5.00mm,2,470u,
D1,LED_D5.0mm,1,HALT,
D2,LED_D5.0mm,1,POWER,
F1,Fuse_Littelfuse_395Series,1,Fuse,
IC1,PLCC-68_THT-Socket,1,Z180,
J1,IDC-Header_2x17_P2.54mm_Vertical,1,Conn_02x17_Odd_Even,
J2,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,1,DB25_Receptacle_MountingHoles,
J3,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DE15_Receptacle_HighDensity_MountingHoles,
J4,PinHeader_1x02_P2.54mm_Horizontal,1,Speaker,
J5,IDC-Header_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J6,PinHeader_1x04_P2.54mm_Horizontal,1,Floppy Power,
J7,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DE9_Plug_MountingHoles,
J8,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
JTAG1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"Q1, Q2",TO-92,2,BC547,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100R,
"R26, R27, R28",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,2K2,
R29,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10R,
"R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,470R,
"R30, R32",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10K,
R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220K,
"R33, R38, R39",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1K,
"R34, R35",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1K5,
"R36, R37",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,47K,
RN1,R_Array_SIP9,1,1K,
RN2,R_Array_SIP9,1,47K,
RV1,Potentiometer_Vishay_T73YP_Vertical,1,1K,
SW1,SW_TH_Tactile_Omron_B3F-10xx,1,Reset,
U1,PLCC-68_THT-Socket,1,82077AA/PC8477,
U10,DIP-28_W15.24mm,1,6264,
"U11, U7",DIP-14_W7.62mm,2,74HC02,
U12,DIP-20_W7.62mm,1,74HC574,
U13,DIP-16_W7.62mm,1,74HC174,
U14,DIP-28_W15.24mm,1,2764,
U15,DIP-16_W7.62mm,1,74HC166,
"U16, U30",DIP-14_W7.62mm,2,74HC00,
U17,DIP-8_W7.62mm,1,LM386,
U18,DIP-8_W7.62mm,1,NE555P,
U19,DIP-16_W7.62mm,1,74HC163,
U2,DIP-40_W15.24mm,1,Z80 PIO,
"U20, U21",DIP-20_W7.62mm,2,74HC688,
"U22, U4, U6",DIP-20_W7.62mm,3,74HC244,
U23,DIP-14_W7.62mm,1,74HC74,
U25,DIP-16_W7.62mm,1,MAX232,
U26,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U27,DIP-14_W7.62mm,1,74HC32,
"U28, U40",DIP-32_W15.24mm,2,AS6C4008-55PCN,
U29,DIP-28_W15.24mm,1,27C128,
U3,DIP-28_W15.24mm,1,AY-3-8912,
U5,PLCC-44_THT-Socket,1,XC9536PC44,
U8,DIP-16_W7.62mm,1,74HC138,
U9,DIP-20_W7.62mm,1,74HC245,
X1,Oscillator_DIP-14,1,25.175 MHz,
Y1,Crystal_HC49-4H_Vertical,1,24 MHz,
Y2,Crystal_HC49-4H_Vertical,1,16 MHz,
