Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C16, C22, C23, C24, C25, C26, C32, C35, C36, C4, C40, C41, C42, C44, C5, C52, C53, C56, C57, C6, C7, C70, C72, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,29,100n,
C27,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,47n,
"C28, C29",CP_Radial_D6.3mm_P2.50mm,2,150u,
"C30, C49, C50, C51",CP_Radial_D5.0mm_P2.50mm,4,10u,
C33,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10n,
"C38, C39",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,22p,
"C54, C55",CP_Radial_D10.0mm_P5.00mm,2,470u,
D1,LED_D5.0mm,1,HALT,
D2,LED_D5.0mm,1,POWER,
D3,LED_D5.0mm,1,ACTIVITY,
F1,Fuse_Littelfuse_395Series,1,Fuse,
IC1,PLCC-68_THT-Socket,1,Z180,
J1,PinHeader_1x06_P2.54mm_Vertical,1,JTAG,
J10,DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DE15,
J2,DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,DB25_Receptacle_MountingHoles,
J3,Conn_CF_N7E50-Q516XX-40,1,Compact Flash,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
J5,IDC-Header_2x06_P2.54mm_Vertical,1,Keyboard,
J7,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,DSUB-9,
J8,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB C,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Reset,
JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,Jumper_2_Bridged,
"Q2, Q3, Q4, Q5",TO-92,4,BC547,
"R10, R12, R13, R30, R32, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,10K,
"R11, R14, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,390R,
"R15, R16",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100R,
"R19, R33, R38, R39",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,1K,
"R26, R27, R28",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,2K2,
R29,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10R,
R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220K,
"R34, R35",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1K5,
RN2,R_Array_SIP9,1,47K,
RN3,R_Array_SIP5,1,1K,
RV1,Potentiometer_Vishay_T73YP_Vertical,1,1K,
SW1,SW_TH_Tactile_Omron_B3F-10xx,1,Reset,
U17,DIP-8_W7.62mm,1,LM386,
U18,DIP-8_W7.62mm,1,NE555P,
U2,DIP-40_W15.24mm,1,Z80 PIO A,
U20,PLCC-84_THT-Socket,1,XC95108PC84,
"U21, U30",DIP-20_W7.62mm,2,74HC377,
U22,DIP-20_W7.62mm,1,74HC244,
U23,DIP-28_W15.24mm,1,27C64,
U24,DIP-16_W7.62mm,1,74HC166,
U25,DIP-16_W7.62mm,1,MAX232,
U26,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U27,DIP-28_W15.24mm,1,62256,
"U28, U40",DIP-32_W15.24mm,2,AS6C4008,
U29,DIP-28_W15.24mm,1,27C128,
U3,DIP-28_W15.24mm,1,AY-3-8912,
"U31, U33",DIP-20_W7.62mm,2,GAL16V8,
U32,DIP-16_W7.62mm,1,74HC157,
U8,DIP-16_W7.62mm,1,74HC138,
X1,Oscillator_DIP-14,1,25.175 MHz,
Y2,Crystal_HC49-4H_Vertical,1,12.288 MHz,
